breeding_tank_selection_tank_placement_breed_btn_04_textfield,9 Harmony Tanks
breeding_tank_selection_tank_placement_breed_btn_03_textfield,6 Harmony Tanks
breeding_tank_selection_tank_placement_breed_btn_02_textfield,3 Harmony Tanks
breeding_tank_selection_tank_placement_breed_btn_01_textfield,
breeding_tank_unlock_common_btn_label_textfield,Visit
breeding_tank_unlock_new_tank__description_textfield,You've unlocked another breeding tank.
breeding_tank_unlock_new_tank__title_textfield,New Breeding Tank!
cheating_error_popup_error_title_textfield,Error!
cheating_error_popup_error_description_textfield,Unusual activity was detected and the incident has been reported.
cheating_error_btn_label_textfield,OK
fish_likes_fish_fish_like_title_textfield,Best Buddies!
fish_likes_fish_fish_like_description_textfield,
fish_likes_toy_fish_toy_title_textfield,Favorite Toy!
fish_likes_toy_fish_toy_description_textfield,
fish_purchase_store_item_fish_cost_textfield,
fish_purchase_store_item_fish_title_textfield,
fish_purchase_store_item_fish_description_textfield,
fish_purchase_store_item_fish_status_textfield,
fivestar_fivestar_title_textfield,Having a Great time?
fivestar_fivestar_textfield,Rate us so we can continue making this game more awesome!
fivestar_fivestar_sure_textfield,Sure!
high_score_fish_fling_description_textfield,You've just set a new fish-flinging goal!
high_score_fish_fling_title_textfield,
high_score_common_btn_label_textfield,Share!
high_score_fish_fling_record_textfield,
internet_error_popup_error_title_textfield,Connection Lost!
internet_error_popup_error_description_textfield,Fishies need the internet! Please check your connection and try again.
internet_error_btn_label_textfield,OK
level_up_levelup_description_textfield,"Wow, nice! Let's head to the store and celebrate!"
level_up_levelup_title_textfield,You've earned some rewards!
level_up_levelup_maintitle_textfield,Level Up!
level_up_levelup_level_textfield,
main_store_screen_babyfish_textfield,Baby Fish
main_store_screen_idol_textfield,Toys
main_store_screen_treasure_textfield,Treasure
main_store_screen_tank_textfield,Tanks
main_store_screen_decoration_textfield,Decorations
main_store_screen_sand_textfield,Sand & Wallpaper
main_store_screen_title_textfield,
main_store_screen_coins_amount_textfield,
main_store_screen_pearls_amount_textfield,
main_store_screen_tapjoy_textfield,Earn Pearls
quest_complete_quest_reward_title_textfield,
quest_complete_quest_reward_maintitle_textfield,Quest Complete!
quest_complete_quest_reward_description_textfield,
quest_complete_quest_reward_count_1_textfield,
quest_complete_quest_reward_textfield,Reward:
quest_complete_quest_reward_count_2_textfield,
quest_complete_common_btn_label_textfield,Share
quests_quests_title_textfield,QUESTS
ha_mobile_ui_sd_food_textfield,Feed
ha_mobile_ui_sd_store_textfield,Store
ha_mobile_ui_sd_social_textfield,Friends
ha_mobile_ui_sd_quest_textfield,Quest
ha_mobile_ui_sd_coins_amount_textfield,
ha_mobile_ui_sd_pearls_amount_textfield,
ha_mobile_ui_sd_tank_number_textfield,
ha_mobile_ui_sd_xp_amount_textfield,
ha_mobile_ui_sd_social_indicator_textfield,
ha_mobile_ui_sd_nudge_button_textfield,Nudge
ha_mobile_ui_sd_dig_textfield,Dig
ha_mobile_ui_sd_home_textfield,Home
settings_settings_title_textfield,Settings
settings_settings_version_textfield,
tank_decor_popup1_fish_decor_title_textfield,Decorate your tank!
tank_decor_popup1_fish_decor_description_textfield,Every fish deserves a decorated tank!
tank_decor_popup1_btn_label_textfield,Store
tank_decor_popup1_tank_locked_current_textfield,Digging for treasure is a great way to get toys! You can also buy from the store.
tank_decor_popup2_fish_decor_title_textfield,Nice tank!
tank_decor_popup2_fish_decor_description_textfield,What a beautiful tank. Your fish will be happier in their nicely decorated home.
tank_locked_tank_locked_title_textfield,Tank Locked!
tank_locked_common_btn_label_textfield,Buy
tank_locked_tank_locked_description_textfield,
tank_locked_tank_locked_current_textfield,Start building now for only:
tank_locked_tank_locked_unlock_cost_textfield,
welcome_common_btn_label_textfield,Continue
welcome_nuf_welcome_description_textfield,"Welcome to Fish with Attitude! Create beautiful tanks, breed amazing fish, and enjoy all their fun personalities."
randomize_likesdislikes_popup_title_textfield,Randomize?
randomize_likesdislikes_btn_cost_textfield,
randomize_likesdislikes_common_btn_label_textfield,Randomize
randomize_likesdislikes_generic_description_textfield,Want your fish to like other things? Change their likes and dislikes now!
json_fish_info_name_nice,Nice
json_fish_info_name_mean,Mean
json_fish_info_name_brave,Brave
json_fish_info_name_rare brave,Rare Brave
json_fish_info_name_shy,Shy
json_fish_info_name_smart,Smart
json_fish_info_name_creative,Creative
json_fish_info_name_crazy,Crazy
json_fish_info_name_flirty,Flirty
json_fish_info_name_tough,Tough
json_fish_info_name_adventure,Adventure
json_fish_info_name_pretty,Pretty
json_fish_info_name_rebel,Rebel
json_fish_info_name_dreamy,Dreamy
json_fish_info_name_funny,Funny
json_fish_info_name_greedy,Greedy
json_fish_info_name_cool,Cool
json_fish_info_name_nerdy,Nerdy
json_fish_info_name_party,Party
json_fish_info_name_evil,Evil
json_fish_info_name_gossip,Gossip
json_fish_info_name_clown,Clown
json_fish_info_name_paparazzi ,Paparazzi 
json_fish_info_name_cheerleader,Cheerleader
json_fish_info_name_dancer,Dancer
json_fish_info_name_artist,Artist
json_fish_info_name_salesman,Salesman
json_fish_info_name_president,President
json_fish_info_name_secret agent,Secret Agent
json_fish_info_name_robber,Robber
json_fish_info_name_mad scientist,Mad Scientist
json_fish_info_name_hobo,Hobo
json_fish_info_name_movie star,Movie Star
json_fish_info_name_rock star,Rock Star
json_fish_info_name_model,Model
json_fish_info_name_astronaut,Astronaut
json_fish_info_name_pirate,Pirate
json_fish_info_name_ninja,Ninja
json_fish_info_name_pop star,Pop Star
json_fish_info_name_wizard,Wizard
json_fish_info_name_cowboy,Cowboy
json_fish_info_name_designer,Designer
json_fish_info_name_unicorn,Unicorn
json_fish_info_name_fairy,Fairy
json_fish_info_name_werewolf,Werewolf
json_fish_info_name_vampire,Vampire
json_fish_info_name_angel,Angel
json_fish_info_name_ghost,Ghost
json_fish_info_name_devil,Devil
json_fish_info_name_diamond,Diamond
json_fish_info_name_ruby,Ruby
json_fish_info_name_galaxy,Galaxy
json_fish_info_name_social,Social
json_fish_info_name_independence,Independence
json_fish_info_description_nice,"This fish's life is sunshine, rainbows, and possibly even lollipops. It's easy-going, ready to make friends, and sure to see the best of every situation."
json_fish_info_description_mean,"Some fish might wake up on the wrong side of the tank; this one LIVES there. This is a low-down troublemaker, so keep your distance... and don't try to hug it. It hates hugs."
json_fish_info_description_brave,No obstacle is too great for this fearless fish. It firmly believes it can tackle any challenge - all it needs is the chance.
json_fish_info_description_rare brave,No obstacle is too great for this fearless fish. It firmly believes it can tackle any challenge - all it needs is the chance.
json_fish_info_description_shy,"You might not think much of this timid fish, but don't count them out. They're kind at heart, and hey - sometimes it's the shy ones that surprise us most."
json_fish_info_description_smart,"This little one's a born genius, but it's no show-off; all they really want is the chance to move into a nice tank that's full of friends!"
json_fish_info_description_creative,"Incredible ideas float through this fish's mind like bubbles on a wave. Now if only they could focus, they'd be the most famous fish around!"
json_fish_info_description_crazy,"A batty buddy for your tank, this straightjacketed swimmer can't be taken seriously. Let's at least hope it's happy. Maybe we'll find them a therapist fish one day!"
json_fish_info_description_flirty,"Spunky and outgoing, this fish loves to make friends. It can be a little flaky, but it's a simple swimmer with a sweet smile who just wants to have fun."
json_fish_info_description_tough,"Solid as a rock, this fish has been around the block a few times and has the scars to prove it. It may look scary, but don't worry - this is one fish who's got your back."
json_fish_info_description_adventure,Fancy a swim to the North Pole? Maybe a hunt for Atlantis? Just your average day for this enterprising explorer. They'll always have amazing tales to tell their fishy friends!
json_fish_info_description_pretty,"What a stunning little beauty! This fabulous fish is sure to be the talk of the tank. With all that attention, they'll have no trouble making friends."
json_fish_info_description_rebel,"This fish plays by its own rules. It'll never let the man keep 'em down, and the only fins it'll trust are its own. A loner, sure, but isn't it just a bit cool, too?"
json_fish_info_description_dreamy,"Content to float through life without a care, this fish is more focused on the fantastic world inside its head. What visions do you suppose it sees when it closes its eyes?"
json_fish_info_description_funny,"This hilarious fish loves to laugh. It'll do what it can to put a smile on your face, and with its assortment of terrific tricks, that won't take very long!"
json_fish_info_description_greedy,"Seems like this oversize swimmer is only happy when it's taking more than its fair share. A green-eyed monster with fins, they want it all - and they're not shy about it."
json_fish_info_description_cool,"Laid-back and stylish, this fine fella's content to watch the world float past their slick shades. So relaxed!"
json_fish_info_description_nerdy,"They may not be the life of a party, but this clever critter's got one of the biggest brains in the tank! All it's missing is the courage to stand up and be noticed. I hope they find it!"
json_fish_info_description_party,Everyone wants to meet this fish! It's so sociable and always happy to hang out - but what do you suppose it does when it's not throwing parties?
json_fish_info_description_evil,Dark and sinister thoughts swirl through the mind of this frightful fish. What vile plans could it be hatching now? Better keep a close eye on this one.
json_fish_info_description_gossip,"Rumors are like delicious candy to this talkative fish. Don't tell it anything you'd want to stay secret, and make sure they have an unlimited phone plan!"
json_fish_info_description_clown,"This is no ordinary clownfish - it went to Clown Academy! Armed with a wacky sense of humor and a bag full of silly props, it's sure to brighten up any tank."
json_fish_info_description_paparazzi ,"Let's see your good side! This fish is an impossible shutterbug, always snapping photos of the other fish. It'd probably have more friends if it weren't so pushy about it."
json_fish_info_description_cheerleader,"Rah, rah, fish are great! This fish is full of spunk and spirit - it's happy to cheer any occasion, and its boundless enthusiasm will bring new energy to the tank!"
json_fish_info_description_dancer,"Hear that music? Then it's time to hit the dance floor with this lively lil' swimmer! This fish loves to shake its fins. When there's a good beat, it just can't help itself!"
json_fish_info_description_artist,This paint-spattered creative has a vision it'll follow to the ends of the ocean. Nothing can stop them from putting brush to canvas and drawing their dreams.
json_fish_info_description_salesman,"As seen on TV! This master salesfish is a fast-talking genius who can sell almost anything to anyone. Don't stick around too long, or you'll end up buying half the tank!"
json_fish_info_description_president,"Not every fish gets up in the morning and decides to run for Tank Leader - but our presidential pal here is no ordinary fish. A smooth talker, they can get anyone on his side."
json_fish_info_description_secret agent,"The most suave spy your tank will ever see, this fish's mission is to maintain peace and order under the waves. Evil beware - Agent Fish is here!"
json_fish_info_description_robber,"This fish has a bad reputation, but you shouldn't judge of book by its- hey! HEY! Where's my wallet?! ROBBER FIIIIISH!"
json_fish_info_description_mad scientist,What has science done?! This freaky fish will be meddling with the laws of nature in no time. Let's hope its discoveries don't blast the tank to bits!
json_fish_info_description_hobo,"Down on your luck? Well, misery loves company, and the hobo fish will help share your sorrows. They'll even take care of any aluminum cans around your tank..."
json_fish_info_description_movie star,Oh my - we have a celebrity here! This fish has already starred in all sorts of famous movies and plans to go for more! This is how you add star power to your tank! 
json_fish_info_description_rock star,Rock on! This fish lives to blast its magnificent music from the center stage. It'll never go anywhere without its guitar and a school of groupies!
json_fish_info_description_model,This fashion-obsessed fish is always at home on the runway! All they want to do is strut their stuff on the catwalk while wearing the best designs - and what's wrong with that?
json_fish_info_description_astronaut,"Reach for the stars! When the tank manages to build its first rocket, this is the mighty fish who will ride it into the heavens. Houston, we are go for launch!"
json_fish_info_description_pirate,"Arr! This fish is on an endless quest for stupendous treasure. It's following all the clues, and it'll do whatever it takes to get the gold..."
json_fish_info_description_ninja,"Silent as shadow, deadly in darkness, swifter than the sea - watch out! This fighting fish has been trained in ancient arts and it's not afraid to use them."
json_fish_info_description_pop star,Check the music charts and you'll find this fish floating at the top! It's got a true gift for song and can't wait to go global. Prepare yourself for some sweet sound!
json_fish_info_description_wizard,Zounds! This spellslingin' swimmer has more mystic might in one little fin than most fish could hope to have in a lifetime! Let's just hope they'll use their powers for good...
json_fish_info_description_cowboy,Yeehaw! Ride those seahorses! This rough n' tumble fish will wrangle a tankful of fun. Just don't let them ride off into the sunset. Yahoo!
json_fish_info_description_designer,"Have you seen the latest styles? Aren't they beautiful? Well, there's a good chance they were made by the nimble fins of this very fish. Its designs are the height of fishion!"
json_fish_info_description_unicorn,"Majestic beauties of the deep, unicorn seahorses are a magical and mysterious addition to any tank. They love to frolic in the sunlight, and rainbows follow in their wake."
json_fish_info_description_fairy,"Hopes, dreams, and happiness follow in this fabled fish's wake. Watch your tank fill with joy - and sparkles! - after a wave of its wand and a pinch of fairy dust!"
json_fish_info_description_werewolf,"AwooOOOooo! This fella loves flannel, full moons, and pretty - but clumsy - girls. Absolutely hates vampires for some reason, though. Especially if they're shirtless."
json_fish_info_description_vampire,"It vants your blood! Dark and mysterious, this fish loves candlelight, brooding, and love triangles. Can't stand werewolves, though. I wonder why..."
json_fish_info_description_angel,"An uplifting choir seems to follow this fish. Its halo shines with inner goodness, and its heart beats with truth and hope. This is a truly heavenly fish, and rarely seen."
json_fish_info_description_ghost,"This fearsome fellow will set your skin crawling! No need to rush for the proton packs, though - it's a friendly ghost, ready to give you a ghoulishly good time!"
json_fish_info_description_devil,"Something wicked this way comes. This devil ray casts a grim pall over the tank with its fiendish presence. Who are they, really? What do they want? No good will come of this."
json_fish_info_description_diamond," This rare, radiant fish sparkles with an inner fire. Gentle and wise, this is a true ruler of the deep and certainly a girl's best friend!"
json_fish_info_description_ruby,"This fish is a rare gem with a sparkling personality! It'll surely bring a sparkle to any tank, but watch out for thieves - they might just mistake it for jewelry!"
json_fish_info_description_galaxy,Breathtaking - never has there been a more majestic fish! But how can our tanks contain such a creature of space and stars? Only our phishicists may know for sure...
json_fish_info_description_social,"Socialite of the seas, this fish loves making friends and keeping everyone happy. They may be a bit of a gossip, but they're a sweetie at heart and a true ally."
json_fish_info_description_independence,"This steadfast fish believes everyone has the right to freedom. The only question in its briny brain is which of these it likes more: Truth, justice, or liberty for all?"
json_fish_info_ftraits_nice,Nice
json_fish_info_ftraits_mean,Mean
json_fish_info_ftraits_brave,Brave
json_fish_info_ftraits_rare brave,"Brave,Rare"
json_fish_info_ftraits_shy,Shy
json_fish_info_ftraits_smart,Smart
json_fish_info_ftraits_creative,Creative
json_fish_info_ftraits_crazy,"Nice,Mean"
json_fish_info_ftraits_flirty,"Nice,Brave"
json_fish_info_ftraits_tough,"Mean,Brave"
json_fish_info_ftraits_adventure,"Nice,Mean,Brave"
json_fish_info_ftraits_pretty,"Nice,Shy"
json_fish_info_ftraits_rebel,"Mean,Shy"
json_fish_info_ftraits_dreamy,"Brave,Shy"
json_fish_info_ftraits_funny,"Nice,Smart"
json_fish_info_ftraits_greedy,"Mean,Smart"
json_fish_info_ftraits_cool,"Brave,Smart"
json_fish_info_ftraits_nerdy,"Shy,Smart"
json_fish_info_ftraits_party,"Nice,Brave,Shy"
json_fish_info_ftraits_evil,"Mean,Brave,Shy"
json_fish_info_ftraits_gossip,"Nice,Mean,Shy"
json_fish_info_ftraits_clown,"Nice,Creative"
json_fish_info_ftraits_paparazzi ,"Mean,Creative"
json_fish_info_ftraits_cheerleader,"Brave,Creative"
json_fish_info_ftraits_dancer,"Shy,Creative"
json_fish_info_ftraits_artist,"Smart,Creative"
json_fish_info_ftraits_salesman,"Nice,Mean,Smart"
json_fish_info_ftraits_president,"Nice,Brave,Smart"
json_fish_info_ftraits_secret agent,"Nice,Shy,Smart"
json_fish_info_ftraits_robber,"Mean,Brave,Smart"
json_fish_info_ftraits_mad scientist,"Mean,Shy,Smart"
json_fish_info_ftraits_hobo,"Brave,Shy,Smart"
json_fish_info_ftraits_movie star,"Nice,Mean,Creative"
json_fish_info_ftraits_rock star,"Nice,Brave,Creative"
json_fish_info_ftraits_model,"Nice,Shy,Creative"
json_fish_info_ftraits_astronaut,"Nice,Smart,Creative"
json_fish_info_ftraits_pirate,"Mean,Brave,Creative"
json_fish_info_ftraits_ninja,"Mean,Shy,Creative"
json_fish_info_ftraits_pop star,"Mean,Smart,Creative"
json_fish_info_ftraits_wizard,"Brave,Shy,Creative"
json_fish_info_ftraits_cowboy,"Brave,Smart,Creative"
json_fish_info_ftraits_designer,"Shy,Smart,Creative"
json_fish_info_ftraits_unicorn,"Nice,Shy,Smart,Creative"
json_fish_info_ftraits_fairy,"Nice,Shy,Smart,Creative"
json_fish_info_ftraits_werewolf,"Mean,Shy,Smart,Creative"
json_fish_info_ftraits_vampire,"Mean,Shy,Smart,Creative"
json_fish_info_ftraits_angel,"Brave,Shy,Smart,Creative"
json_fish_info_ftraits_ghost,"Brave,Shy,Smart,Creative"
json_fish_info_ftraits_devil,"Brave,Shy,Smart,Creative"
json_fish_info_ftraits_diamond,"Nice,Brave,Shy,Smart,Creative"
json_fish_info_ftraits_ruby,"Nice,Brave,Shy,Smart,Creative"
json_fish_info_ftraits_galaxy,"Nice,Mean,Brave,Shy,Smart,Creative"
json_fish_info_ftraits_social,Nice
json_fish_info_ftraits_independence,"Nice,Brave,Smart,LimitedEdition"
json_fish_info_dtraits_nice,
json_fish_info_dtraits_mean,
json_fish_info_dtraits_brave,
json_fish_info_dtraits_rare brave,Brave
json_fish_info_dtraits_shy,
json_fish_info_dtraits_smart,
json_fish_info_dtraits_creative,
json_fish_info_dtraits_crazy,
json_fish_info_dtraits_flirty,
json_fish_info_dtraits_tough,
json_fish_info_dtraits_adventure,
json_fish_info_dtraits_pretty,
json_fish_info_dtraits_rebel,
json_fish_info_dtraits_dreamy,
json_fish_info_dtraits_funny,
json_fish_info_dtraits_greedy,
json_fish_info_dtraits_cool,
json_fish_info_dtraits_nerdy,
json_fish_info_dtraits_party,
json_fish_info_dtraits_evil,
json_fish_info_dtraits_gossip,
json_fish_info_dtraits_clown,
json_fish_info_dtraits_paparazzi ,
json_fish_info_dtraits_cheerleader,
json_fish_info_dtraits_dancer,
json_fish_info_dtraits_artist,
json_fish_info_dtraits_salesman,
json_fish_info_dtraits_president,
json_fish_info_dtraits_secret agent,
json_fish_info_dtraits_robber,
json_fish_info_dtraits_mad scientist,
json_fish_info_dtraits_hobo,
json_fish_info_dtraits_movie star,
json_fish_info_dtraits_rock star,
json_fish_info_dtraits_model,
json_fish_info_dtraits_astronaut,
json_fish_info_dtraits_pirate,
json_fish_info_dtraits_ninja,
json_fish_info_dtraits_pop star,
json_fish_info_dtraits_wizard,
json_fish_info_dtraits_cowboy,
json_fish_info_dtraits_designer,
json_fish_info_dtraits_unicorn,Magical
json_fish_info_dtraits_fairy,Magical
json_fish_info_dtraits_werewolf,Magical
json_fish_info_dtraits_vampire,Magical
json_fish_info_dtraits_angel,Celestial
json_fish_info_dtraits_ghost,Celestial
json_fish_info_dtraits_devil,Celestial
json_fish_info_dtraits_diamond,Gem
json_fish_info_dtraits_ruby,Gem
json_fish_info_dtraits_galaxy,Galactical
json_fish_info_dtraits_social,
json_fish_info_dtraits_independence,LimitedEdition
json_fish_info_proper_names_nice,"Harmony,Jellybean,Flo,Bonnie,Sweetie"
json_fish_info_proper_names_mean,"Bitey,Grumbles,Nibbles,Rascal,Roughtail"
json_fish_info_proper_names_brave,"Tiger,Hercules,Leo,Percival,Lancelot"
json_fish_info_proper_names_rare brave,"Tiger,Hercules,Leo,Percival,Lancelot"
json_fish_info_proper_names_shy,"Squishy,Minnie,Bubbles,Bitsy,Tulip"
json_fish_info_proper_names_smart,"Isaac,Newton,Leonardo,Darwin,Albert"
json_fish_info_proper_names_creative,"Vision,Fancy,Pixel,Figment,Wonder"
json_fish_info_proper_names_crazy,"Madfin,Loonygill,Wackyscale,Battytail,Seaflake"
json_fish_info_proper_names_flirty,"Roxie,Elle,Sassyfins,Rose,Violet"
json_fish_info_proper_names_tough,"Lou,Beefsteak,Brute,Atlas,Tyson"
json_fish_info_proper_names_adventure,"Phoenix,Indiana,Raleigh,Locke,Magellan"
json_fish_info_proper_names_pretty,"Angelina,Marilyn,Cleopatra,Bonita,Belle"
json_fish_info_proper_names_rebel,"Elvis,Dean,Romeo,Torque,Tyler,Luther"
json_fish_info_proper_names_dreamy,"Starry,Misty,Fantasy,Moongill,Glowfin"
json_fish_info_proper_names_funny,"Giggles,Grintail,Smiley,Merrygill,Chuckles"
json_fish_info_proper_names_greedy,"Mondo,Goliath,Hungerfin,Scrooge,Piggy"
json_fish_info_proper_names_cool,"Adonis,Alpha,Chief,Ferrari,Magnum"
json_fish_info_proper_names_nerdy,"Flanders,Melvin,Leopold,Linus,Pascal"
json_fish_info_proper_names_party,"Glinda,Hope,Sophia,Chloe,Mia,Madison"
json_fish_info_proper_names_evil,"Snidely,Grimfin,Snags,Bane,Dastard"
json_fish_info_proper_names_gossip,"Trixie,Babs,Lulu,Pinky,Holly"
json_fish_info_proper_names_clown,"Bubbles,Blinky,Bozo,Confetti,Bumpkin,Gonzo"
json_fish_info_proper_names_paparazzi ,"Scoop,Bumper,Badger,Snapshot,Quickfin"
json_fish_info_proper_names_cheerleader,"Candi,Ashli,Susi,Tootsi,Bambi,Daisi,Betsi"
json_fish_info_proper_names_dancer,"Pavlova,Flora,Grace,Anna,Marie"
json_fish_info_proper_names_artist,"Aqua,Azure,Cobalt,Cerulean,Indigo"
json_fish_info_proper_names_salesman,"Jaws,Hoaxy,Snaketail,Cheatygill,Swindlefin"
json_fish_info_proper_names_president,"Abe,George,Jefferson,Bill,Teddy"
json_fish_info_proper_names_secret agent,"Ace,Steele,Maxwell,James,Danger,Austin"
json_fish_info_proper_names_robber,"Theftfin,Black Bart,Sneakygill,Bandit,Desperado"
json_fish_info_proper_names_mad scientist,"Fearstein,Jekyll,Moreau,Dr. Boom,Brainiac,Destructo"
json_fish_info_proper_names_hobo,"Sad Petey,Old Bill,Lucky Jim,Stinkfin,Drifty Ted"
json_fish_info_proper_names_movie star,"Goldie,Paris,Lucille,Vivien,Ginger"
json_fish_info_proper_names_rock star,"Thrum,Spike,Blaze,Axel,Shred"
json_fish_info_proper_names_model,"Queenie,Isadore,Rosalind,Camelia,Fleur,Persephone"
json_fish_info_proper_names_astronaut,"Buzz,Cosmo,Armstrong,Sagan,Yuri"
json_fish_info_proper_names_pirate,"Cap'n,Pegleg Pat,Bloody Ben,Cannonball,Scalebeard"
json_fish_info_proper_names_ninja,"Nigiri,Sashimi,Ryu,Hanzo,Goemon,Shadow"
json_fish_info_proper_names_pop star,"Jessica,Britney,Mariah,Christina,Kylie"
json_fish_info_proper_names_wizard,"Gandalf,Merlin,Harry,Rincewind,Elminster"
json_fish_info_proper_names_cowboy,"Clint,Pistol Pete,Dusty,Wild Bill,Wyatt"
json_fish_info_proper_names_designer,"Vera,Chiffon,Stella,Winters,Kate,Donna"
json_fish_info_proper_names_unicorn,"Majesty,Mr. Pointy,Serenity,Xanadu,Charlie,Uno"
json_fish_info_proper_names_fairy,"Princess,Cupcake,Sparkle,Glitter,Pixie"
json_fish_info_proper_names_werewolf,"Jacob,Lupin,Wulfric,Mongrel,Fenrir"
json_fish_info_proper_names_vampire,"Edward,Nyx,Orlok,Lestat,Vladimir"
json_fish_info_proper_names_angel,"Serapha,Cherubi,Choira,Paragon,Iridesca"
json_fish_info_proper_names_ghost,"Casper,Boo,Alma,Alastor,Marley"
json_fish_info_proper_names_devil,"Beelzebub,Dante,Lucifer,Mephisto,Scratch"
json_fish_info_proper_names_diamond,"Crystal,Bianca,Bijou,Ice,Tiara"
json_fish_info_proper_names_ruby,"Rosie,Ruby,Cherry,Scarlet,Cameo,Gem"
json_fish_info_proper_names_galaxy,"Celestia,Luna,Andromeda,Solara,Glimmer"
json_fish_info_proper_names_social,"Bestie,Charma,Glee,Heartfin,Seahug"
json_fish_info_proper_names_independence,"Abe,George,Jefferson,Bill,Teddy"
json_decor_info_name_coral_blueanemone,Bulb Anemone
json_decor_info_name_coral_brain,Brain Coral
json_decor_info_name_coral_closedbrain,Closed Coral
json_decor_info_name_coral_coil,Coil Coral
json_decor_info_name_coral_crinoid,Crinoid
json_decor_info_name_coral_fan,Coral Fan
json_decor_info_name_coral_fanlarge,Big-Fan Coral
json_decor_info_name_coral_fire,Fire Coral
json_decor_info_name_coral_montipora,Montipora Coral
json_decor_info_name_coral_mushroom,Mushroom Coral
json_decor_info_name_coral_panel,Panel Coral
json_decor_info_name_coral_pillar,Pillar Coral
json_decor_info_name_coral_pinkanemone,Condy Anemone
json_decor_info_name_coral_pipe,Pipe Coral
json_decor_info_name_coral_plate,Sea Anemone
json_decor_info_name_coral_plume,Sponge Coral
json_decor_info_name_coral_purpleurchin,Purple Urchin
json_decor_info_name_coral_stripedmushroom,Striped Mushroom
json_decor_info_name_coral_suncoral,Sun Coral
json_decor_info_name_coral_tree,Coral Tree
json_decor_info_name_coral_urchinshell,Urchin Shell
json_decor_info_name_plant_bamboo,Bamboo
json_decor_info_name_plant_bluedragonweed,Blue Dragonweed
json_decor_info_name_plant_drifttreestump,Drift Stump
json_decor_info_name_plant_kelpa,Swaying Kelp
json_decor_info_name_plant_kelpb,Leafy Kelp
json_decor_info_name_plant_purplemushroom,Purple Mushrooms
json_decor_info_name_plant_ricciagrass,Bubble Grass
json_decor_info_name_plant_sealavender,Sea Lavender
json_decor_info_name_plant_seaweedpetals,Leafy Seaweed
json_decor_info_name_plant_shavingbrush,Frilly Brushes
json_decor_info_name_rock_algaeslabrock,Algae Rocks
json_decor_info_name_rock_basalt,Basalt Blocks
json_decor_info_name_rock_crystal,Crystals
json_decor_info_name_rock_greypumice,Gray Pumice
json_decor_info_name_rock_platerock,Rocky Plate
json_decor_info_name_rock_redpumice,Red Pumice
json_decor_info_name_rock_riverstones,River Stones
json_decor_info_name_rock_slabrock,Rocky Slabs
json_decor_info_name_rock_stonecave,Stone Cave
json_decor_info_name_rock_stonestair,Stone Stair
json_decor_info_name_rock_whitepumice,White Pumice
json_decor_info_name_plant_tallseaweed,Tall Seaweed
json_decor_info_name_anchor,Anchor
json_decor_info_name_toxicwaste,Toxic Waste
json_decor_info_name_fork,Fork
json_decor_info_name_tire,Tire
json_decor_info_name_pearl_1,A Pearl
json_decor_info_name_pearl_2,Two Pearls
json_decor_info_name_pearl_5,Five Pearls
json_decor_info_name_pearl_10,Ten Pearls
json_decor_info_name_shell_cockle,Cockle Shell
json_decor_info_name_shell_cowrie,Cowrie Shell
json_decor_info_name_pillow_disccushion,Cushion Pillow
json_decor_info_name_shell_tulip,Tulip Shell
json_decor_info_name_plant_fanwort,Fanwort
json_decor_info_name_coral_spongepods,Sponge Pods
json_decor_info_name_pillow_tassel,Tassel Pillow
json_decor_info_name_plant_podkelp,Pod Kelp
json_decor_info_name_plant_lilypad,LilyPad
json_decor_info_name_pillow_tube,Tube Pillow
json_decor_info_name_coral_branched,Branched Coral
json_decor_info_name_chocolates,Box of Chocolates
json_decor_info_name_champagne,Champagne Bottle
json_decor_info_name_diamondring,Diamond Ring
json_decor_info_name_applecore,Apple Core
json_decor_info_name_beercan,Can
json_decor_info_name_bikewheel,Bike Wheel
json_decor_info_name_boot,Boot
json_decor_info_name_fishhook,Fish Hook
json_decor_info_name_gascan,Gas Can
json_decor_info_name_golfballs,Golf Balls
json_decor_info_name_signs,Road Sign
json_decor_info_name_sink,Kitchen Sink
json_decor_info_name_trashcanlid,Trashcan Lid
json_decor_info_name_wallet,Wallet
json_decor_info_name_treasure_beachball,Beach Ball
json_decor_info_name_treasure_bucket,Bucket
json_decor_info_name_treasure_teacup,Tea Cup
json_decor_info_name_treasure_clams,Clams
json_decor_info_name_treasure_sanddollar,Sand Dollars
json_decor_info_name_treasure_starfish,Starfish
json_decor_info_name_treasure_flute,Flute
json_decor_info_name_treasure_pillar,Pillar
json_decor_info_name_treasure_bomb,Bomb
json_decor_info_name_treasure_necklace,Necklace
json_decor_info_name_treasure_globe,Globe
json_decor_info_name_treasure_shells,Shells
json_decor_info_name_treasure_pocketwatch,Pocket Watch
json_decor_info_name_treasure_sword,Sword
json_decor_info_name_treasure_trident,Trident
json_decor_info_name_treasure_divershelmet,Divers Helmet
json_decor_info_name_treasure_painting,Famous Painting
json_decor_info_name_treasure_watermill,Watermill
json_decor_info_name_treasure_castle,Castle
json_decor_info_name_treasure_monolith,Monolith
json_decor_info_name_treasure_tiki,Tiki
json_decor_info_name_treasure_pagoda,Pagoda
json_decor_info_name_treasure_submarine,Submarine
json_decor_info_name_treasure_sunkenship,Sunken Ship
json_decor_info_name_treasure_windmill,Windmill
